rank,domain,health_score,initial_list_row
550,recovered.org,0.966,118924
551,drugabuse.gov,0.965,15554
552,vumc.org,0.965,24573
553,zeelool.com,0.965,33453
554,uihealthcare.org,0.965,71980
555,evernorth.com,0.965,79363
556,rush.edu,0.964,24033
557,momjunction.com,0.964,33506
558,stroke.org,0.964,36389
559,wcrf.org,0.964,40281
560,rheumatology.org,0.964,46585
561,brain.fm,0.964,55216
562,wellspan.org,0.964,56453
563,kidshelpline.com.au,0.964,116674
564,visitingangels.com,0.964,121930
565,nyulangone.org,0.963,25233
566,hear.com,0.963,34575
567,sleepdoctor.com,0.963,37143
568,nctsn.org,0.963,41440
569,fitonapp.com,0.963,63492
570,homeinstead.com,0.963,76803
571,consciouschemist.com,0.963,87988
572,sleep.org,0.963,104367
573,mycarpe.com,0.963,116088
574,hollandandbarrett.com,0.962,23972
575,simple.life,0.962,33121
576,dentalcare.com,0.962,63575
577,virtahealth.com,0.962,101123
578,bcrf.org,0.962,112800
579,smithoptics.com,0.961,67793
580,gosupps.com,0.961,91261
581,eightsleep.com,0.961,117124
582,cda-adc.ca,0.961,122999
583,therecoveryvillage.com,0.960,57158
584,doctible.com,0.960,76724
585,carestack.com,0.960,96401
586,osteoporosis.foundation,0.960,109876
587,ascrs.org,0.960,121440
588,chop.edu,0.959,15265
589,loseit.com,0.959,17211
590,bcm.edu,0.959,21492
591,lorealparisusa.com,0.959,39879
592,christushealth.org,0.959,43776
593,lookchem.com,0.959,74239
594,devoted.com,0.959,78559
595,mypennmedicine.org,0.959,81396
596,hydromassage.com,0.959,101056
597,alzheimersresearchuk.org,0.959,104337
598,openpsychometrics.org,0.959,104358
599,terrayou.com,0.958,23234
600,asam.org,0.958,86469
601,garnierusa.com,0.958,96604
602,cruse.org.uk,0.958,98861
603,sleepwatchapp.com,0.958,102349
604,labsmartlis.com,0.958,104884
605,foundationmedicine.com,0.958,109244
606,myupchar.com,0.957,53517
607,themancompany.com,0.957,73571
608,mypatientchart.org,0.957,77234
609,swiftqueue.co.uk,0.957,81220
610,flexdental.co,0.957,84930
611,thensf.org,0.957,98754
612,sportingbounce.com,0.957,102664
613,withings.com,0.956,16226
614,consensus.app,0.956,20750
615,santepubliquefrance.fr,0.956,23752
616,sunlighten.com,0.956,51522
617,baptisthealth.net,0.956,64877
618,mothersparsh.com,0.956,87582
619,aacap.org,0.955,31603
620,muscleandfitness.com,0.955,38661
621,bellavitaorganic.com,0.955,80051
622,uihc.org,0.955,87514
623,mom.com,0.955,101339
624,kidshelpphone.ca,0.955,102960
625,crisistextline.org,0.954,26230
626,heartandstroke.ca,0.954,65825
627,fitnessvolt.com,0.954,120712
628,sleepcycle.com,0.953,38039
629,whfoods.com,0.953,71859
630,springerpub.com,0.953,100500
631,oversoyed.com,0.953,113491
632,marykay.com,0.952,33711
633,nimml.org,0.952,124986
634,alzheimers.org.uk,0.951,21800
635,southcoast.org,0.951,40627
636,revenuewell.com,0.951,60100
637,nationaleczema.org,0.951,78593
638,beardo.in,0.951,80868
639,allwomenstalk.com,0.951,95900
640,sciencedaily.com,0.950,1525
641,mskcc.org,0.950,14787
642,helloalma.com,0.950,35031
643,brownhealth.org,0.950,68737
644,melos.media,0.950,77233
645,mywishcare.com,0.950,89674
646,breakingmuscle.com,0.950,111303
647,peacehealth.org,0.949,42486
648,practicebetter.io,0.949,51874
649,essentiamychart.org,0.949,83576
650,sciencemission.com,0.949,103761
651,fitnessblender.com,0.948,90109
652,accuprobe.in,0.948,91838
653,tigertext.me,0.947,53207
654,easterseals.com,0.947,57710
655,gymondo.com,0.947,64266
656,celiac.org,0.947,65543
657,autism-society.org,0.947,85715
658,tigerconnect.com,0.947,104285
659,mcw.edu,0.946,29994
660,gluroo.com,0.946,45827
661,bestmed.com.au,0.946,77099
662,myfrido.com,0.946,88973
663,alcoholchange.org.uk,0.946,115803
664,capella.edu,0.945,34319
665,asbestos.com,0.945,49979
666,mykitsch.com,0.945,51357
667,nih.gov,0.944,135
668,aetna.com,0.944,5593
669,nasm.org,0.944,30370
670,vitacave.com,0.944,81198
671,mylghealth.org,0.944,87369
672,axahealth.co.uk,0.944,123387
673,livestrong.com,0.943,10113
674,alivecor.com,0.943,54884
675,breannabeauty.com,0.943,89538
676,gaiam.com,0.943,96355
677,chemicalbook.com,0.942,36912
678,truity.com,0.942,48998
679,doc.lk,0.942,84951
680,muhs.edu.in,0.942,104958
681,bluemercury.com,0.942,108877
682,cqc.org.uk,0.941,20644
683,curative.com,0.941,29569
684,aacr.org,0.941,37715
685,mysugr.com,0.941,85861
686,beateatingdisorders.org.uk,0.941,109359
687,sysmex-europe.com,0.941,125511
688,massgeneralbrigham.org,0.940,30823
689,sanfe.in,0.940,84449
690,ada.org,0.939,10799
691,apta.org,0.939,34927
692,himalayawellness.com,0.939,84563
693,optimumnutrition.co.in,0.939,86946
694,sermo.com,0.939,106299
695,eyemartexpress.com,0.939,110908
696,sesameworkshop.org,0.938,44388
697,joinladder.com,0.938,45907
698,utswmed.org,0.938,60390
699,parkinsons.org.uk,0.938,83753
700,olympusamerica.com,0.938,91567
701,dsm.com,0.937,42104
702,drinkaware.co.uk,0.937,52483
703,muscleblaze.com,0.937,75749
704,clubpilates.com,0.937,120144
705,brainhq.com,0.936,40905
706,add.org,0.936,69001
707,lorealparis.co.in,0.936,84203
708,alzint.org,0.936,98069
709,psychology.org,0.936,112284
710,researchsquare.com,0.935,18927
711,medline.com,0.935,32688
712,tonal.com,0.934,34430
713,leica-microsystems.com,0.934,62030
714,nookal.com,0.934,63106
715,doximity.com,0.933,15769
716,melanoma.org,0.933,52410
717,mountainroseherbs.com,0.933,66198
718,jolse.com,0.932,72298
719,diabetestrackerpro.com,0.932,86036
720,aligntech.com,0.931,13764
721,powerofpositivity.com,0.931,87842
722,endomondo.com,0.931,98329
723,chirotouch.com,0.931,100984
724,omnicell.com,0.931,105654
725,providerconnect.ca,0.930,85927
726,letshyphen.com,0.930,87026
727,trumprx.gov,0.929,99648
728,medibuddy.in,0.929,103766
729,nationalmssociety.org,0.928,28202
730,healthit.gov,0.928,32475
731,pipingrock.com,0.928,60815
732,health.wa.gov.au,0.928,61237
733,acgme.org,0.928,64081
734,gamban.com,0.928,69739
735,betterhelporg.com,0.928,80743
736,positivepsychology.com,0.927,15482
737,amomama.com,0.927,53840
738,fideliscare.org,0.927,62984
739,arogga.com,0.927,67575
740,ppdi.com,0.927,70710
741,fooducate.com,0.927,81255
742,myiq.com,0.926,14739
743,truemed.com,0.926,54591
744,prose.com,0.926,89280
745,evolutionofsmooth.com,0.926,121118
746,abmp.com,0.926,122544
747,poison.org,0.925,53514
748,bcbsm.com,0.925,66186
749,patanjaliayurved.net,0.925,82248
750,amtamassage.org,0.925,94417
751,vsee.com,0.925,102125
752,ancientherbs.biz,0.925,119505
753,issaonline.com,0.925,125229
754,bluechew.com,0.924,52444
755,nutritionvalue.org,0.924,107954
756,obtainhigh.com,0.924,121448
757,chadd.org,0.923,41233
758,healthyturkiye.com,0.923,76429
759,ehospital.gov.in,0.923,87000
760,imohealth.com,0.923,94142
761,lovelyskin.com,0.923,108727
762,mimi.io,0.923,113641
763,lifelabs.com,0.922,54305
764,paulaschoice.com,0.922,56867
765,thegoodtrade.com,0.922,59505
766,foodrevolution.org,0.922,65262
767,menopause.org,0.922,71587
768,nutrabay.com,0.922,78409
769,thepetlabco.com,0.922,109005
770,anara.com,0.922,119142
771,ifit.com,0.921,8913
772,philips.co.uk,0.921,52186
773,mychartplus.org,0.921,76117
774,goda.co,0.920,71338
775,bausch.com,0.920,72669
776,lyrahealth.com,0.920,80524
777,world-heart-federation.org,0.920,80920
778,avaros.ca,0.920,87946
779,revlon.com,0.920,89795
780,lifehack.org,0.919,9555
781,idsociety.org,0.919,49960
782,findhealthguide.online,0.919,107719
783,pillpack.com,0.918,38857
784,nivabupa.com,0.918,67484
785,mbtitesthub.net,0.918,85209
786,missrose.com.pk,0.918,92997
787,nutraingredients.com,0.917,80440
788,whoop.com,0.916,6578
789,klara.com,0.916,26475
790,lensmartonline.com,0.916,51208
791,swissbeauty.in,0.916,87811
792,cronometer.com,0.915,36730
793,glowing.com,0.915,49211
794,americasbest.com,0.915,51386
795,armakeup.com,0.915,63658
796,rvohealth.com,0.914,21254
797,avert.org,0.914,82899
798,happiestbaby.com,0.914,99983
799,astrazeneca.com,0.913,13787
800,welltory.com,0.913,24137
801,beyondblue.org.au,0.912,27734
802,eurosurveillance.org,0.912,45168
803,carbmanager.com,0.912,95504
804,carenet.com,0.911,56721
805,vaccines.gov,0.911,57987
806,krishnaayurved.com,0.911,88109
807,singhealth.com.sg,0.911,96582
808,legionathletics.com,0.911,117903
809,hologic.com,0.911,122404
810,betterme.world,0.910,25237
811,drchrono.com,0.910,39626
812,arata.in,0.910,91354
813,trans4mind.com,0.910,95004
814,healthpartners.com,0.909,29185
815,weightwatchers.ca,0.909,62986
816,patientsknowbest.com,0.909,75914
817,ddx.dental,0.909,106894
818,gharsoaps.shop,0.907,22745
819,express-scripts.com,0.907,26827
820,edwards.com,0.907,105392
821,blood.co.uk,0.907,116445
822,doxycare.shop,0.906,34601
